firstname;lastname;role_id;title;compensation;transport;process_date;payment_date;year;month
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/04/2020;03/04/2020;2020;3
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/05/2020;03/05/2020;2020;4
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/05/2020;03/05/2020;2020;4
Paul;Johnson;2;Data Engineer;160.00;Car;01/05/2020;03/05/2020;2020;4
Martin;Bakker;4;Software Engineer;256.00;Bike;01/05/2020;03/05/2020;2020;4
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/05/2020;03/05/2020;2020;4
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/05/2020;03/05/2020;2020;4
Amout;van den Berg;2;Data Engineer;300.00;Train;01/05/2020;03/05/2020;2020;4
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/05/2020;03/05/2020;2020;4
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/06/2020;03/06/2020;2020;5
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/06/2020;03/06/2020;2020;5
Paul;Johnson;2;Data Engineer;160.00;Car;01/06/2020;03/06/2020;2020;5
Martin;Bakker;4;Software Engineer;256.00;Bike;01/06/2020;03/06/2020;2020;5
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/06/2020;03/06/2020;2020;5
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/06/2020;03/06/2020;2020;5
Amout;van den Berg;2;Data Engineer;300.00;Train;01/06/2020;03/06/2020;2020;5
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/06/2020;03/06/2020;2020;5
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/07/2020;03/07/2020;2020;6
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/07/2020;03/07/2020;2020;6
Paul;Johnson;2;Data Engineer;160.00;Car;01/07/2020;03/07/2020;2020;6
Martin;Bakker;4;Software Engineer;256.00;Bike;01/07/2020;03/07/2020;2020;6
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/07/2020;03/07/2020;2020;6
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/07/2020;03/07/2020;2020;6
Amout;van den Berg;2;Data Engineer;300.00;Train;01/07/2020;03/07/2020;2020;6
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/07/2020;03/07/2020;2020;6
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/08/2020;03/08/2020;2020;7
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/08/2020;03/08/2020;2020;7
Paul;Johnson;2;Data Engineer;160.00;Car;01/08/2020;03/08/2020;2020;7
Martin;Bakker;4;Software Engineer;256.00;Bike;01/08/2020;03/08/2020;2020;7
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/08/2020;03/08/2020;2020;7
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/08/2020;03/08/2020;2020;7
Amout;van den Berg;2;Data Engineer;300.00;Train;01/08/2020;03/08/2020;2020;7
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/08/2020;03/08/2020;2020;7
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/09/2020;03/09/2020;2020;8
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/09/2020;03/09/2020;2020;8
Paul;Johnson;2;Data Engineer;160.00;Car;01/09/2020;03/09/2020;2020;8
Martin;Bakker;4;Software Engineer;256.00;Bike;01/09/2020;03/09/2020;2020;8
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/09/2020;03/09/2020;2020;8
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/09/2020;03/09/2020;2020;8
Amout;van den Berg;2;Data Engineer;300.00;Train;01/09/2020;03/09/2020;2020;8
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/09/2020;03/09/2020;2020;8
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/10/2020;03/10/2020;2020;9
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/10/2020;03/10/2020;2020;9
Paul;Johnson;2;Data Engineer;160.00;Car;01/10/2020;03/10/2020;2020;9
Martin;Bakker;4;Software Engineer;256.00;Bike;01/10/2020;03/10/2020;2020;9
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/10/2020;03/10/2020;2020;9
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/10/2020;03/10/2020;2020;9
Amout;van den Berg;2;Data Engineer;300.00;Train;01/10/2020;03/10/2020;2020;9
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/10/2020;03/10/2020;2020;9
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/11/2020;03/11/2020;2020;10
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/11/2020;03/11/2020;2020;10
Paul;Johnson;2;Data Engineer;160.00;Car;01/11/2020;03/11/2020;2020;10
Martin;Bakker;4;Software Engineer;256.00;Bike;01/11/2020;03/11/2020;2020;10
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/11/2020;03/11/2020;2020;10
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/11/2020;03/11/2020;2020;10
Amout;van den Berg;2;Data Engineer;300.00;Train;01/11/2020;03/11/2020;2020;10
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/11/2020;03/11/2020;2020;10
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/12/2020;03/12/2020;2020;11
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/12/2020;03/12/2020;2020;11
Paul;Johnson;2;Data Engineer;160.00;Car;01/12/2020;03/12/2020;2020;11
Martin;Bakker;4;Software Engineer;256.00;Bike;01/12/2020;03/12/2020;2020;11
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/12/2020;03/12/2020;2020;11
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/12/2020;03/12/2020;2020;11
Amout;van den Berg;2;Data Engineer;300.00;Train;01/12/2020;03/12/2020;2020;11
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/12/2020;03/12/2020;2020;11
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/01/2021;03/01/2021;2020;12
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/01/2021;03/01/2021;2020;12
Paul;Johnson;2;Data Engineer;160.00;Car;01/01/2021;03/01/2021;2020;12
Martin;Bakker;4;Software Engineer;256.00;Bike;01/01/2021;03/01/2021;2020;12
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/01/2021;03/01/2021;2020;12
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/01/2021;03/01/2021;2020;12
Amout;van den Berg;2;Data Engineer;300.00;Train;01/01/2021;03/01/2021;2020;12
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/01/2021;03/01/2021;2020;12
