firstname;lastname;role_id;title;compensation;transport;process_date;payment_date;year;month
Paul;Johnson;2;Data Engineer;160.00;Car;01/08/2019;03/08/2019;2019;7
Martin;Bakker;4;Software Engineer;256.00;Bike;01/08/2019;03/08/2019;2019;7
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/08/2019;03/08/2019;2019;7
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/08/2019;03/08/2019;2019;7
Amout;van den Berg;2;Data Engineer;300.00;Train;01/08/2019;03/08/2019;2019;7
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/09/2019;03/09/2019;2019;8
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/09/2019;03/09/2019;2019;8
Paul;Johnson;2;Data Engineer;160.00;Car;01/09/2019;03/09/2019;2019;8
Martin;Bakker;4;Software Engineer;256.00;Bike;01/09/2019;03/09/2019;2019;8
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/09/2019;03/09/2019;2019;8
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/09/2019;03/09/2019;2019;8
Amout;van den Berg;2;Data Engineer;300.00;Train;01/09/2019;03/09/2019;2019;8
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/10/2019;03/10/2019;2019;9
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/10/2019;03/10/2019;2019;9
Paul;Johnson;2;Data Engineer;160.00;Car;01/10/2019;03/10/2019;2019;9
Martin;Bakker;4;Software Engineer;256.00;Bike;01/10/2019;03/10/2019;2019;9
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/10/2019;03/10/2019;2019;9
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/10/2019;03/10/2019;2019;9
Amout;van den Berg;2;Data Engineer;300.00;Train;01/10/2019;03/10/2019;2019;9
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/11/2019;03/11/2019;2019;10
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/11/2019;03/11/2019;2019;10
Paul;Johnson;2;Data Engineer;160.00;Car;01/11/2019;03/11/2019;2019;10
Martin;Bakker;4;Software Engineer;256.00;Bike;01/11/2019;03/11/2019;2019;10
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/11/2019;03/11/2019;2019;10
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/11/2019;03/11/2019;2019;10
Amout;van den Berg;2;Data Engineer;300.00;Train;01/11/2019;03/11/2019;2019;10
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/12/2019;03/12/2019;2019;11
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/12/2019;03/12/2019;2019;11
Paul;Johnson;2;Data Engineer;160.00;Car;01/12/2019;03/12/2019;2019;11
Martin;Bakker;4;Software Engineer;256.00;Bike;01/12/2019;03/12/2019;2019;11
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/12/2019;03/12/2019;2019;11
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/12/2019;03/12/2019;2019;11
Amout;van den Berg;2;Data Engineer;300.00;Train;01/12/2019;03/12/2019;2019;11
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/01/2020;03/01/2020;2019;12
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/01/2020;03/01/2020;2019;12
Paul;Johnson;2;Data Engineer;160.00;Car;01/01/2020;03/01/2020;2019;12
Martin;Bakker;4;Software Engineer;256.00;Bike;01/01/2020;03/01/2020;2019;12
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/01/2020;03/01/2020;2019;12
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/01/2020;03/01/2020;2019;12
Amout;van den Berg;2;Data Engineer;300.00;Train;01/01/2020;03/01/2020;2019;12
